query,target_cui,target_name,with_definitions_rank,without_definitions_rank,rank_gain,with_definitions_score,without_definitions_score,with_definitions_matched_queries,without_definitions_matched_queries,source_definition
absence of blood circulation,C0022116,Ischemia,1,,50,18.5720,,and_definitions;phrase_definitions,,"A hypoperfusion of the BLOOD through an organ or tissue caused by a PATHOLOGIC CONSTRICTION or obstruction of its BLOOD VESSELS, or an absence of BLOOD CIRCULATION."
blood flow after skin,C0005729,Bleeding time procedure,1,,50,25.9912,,and_definitions;phrase_definitions,,Duration of blood flow after skin puncture. This test is used as a measure of capillary and platelet function.
blood in the subdural,C0238156,"Hematoma, Subdural, Intracranial",1,,50,37.5935,,and_definitions;phrase_definitions,,Accumulation of blood in the SUBDURAL SPACE over the CEREBRAL HEMISPHERE.
blood supply caused,C0022116,Ischemia,1,,50,19.9659,,and_definitions;phrase_definitions,,a decrease in blood supply caused by blockage of blood vessel
blood with retained,C5708652,Umbilical Cord Plasma,1,,50,33.7485,,and_definitions;phrase_definitions,,The fluid (acellular) portion of the circulating blood with retained clotting components from the cord blood of a newborn baby.
blood with retained clotting,C5708652,Umbilical Cord Plasma,1,,50,55.2557,,and_definitions;phrase_definitions,,The fluid (acellular) portion of the circulating blood with retained clotting components from the cord blood of a newborn baby.
chronic allergic condition,C0015029,Ethmoid Sinusitis,1,,50,27.4838,,and_definitions;phrase_definitions,,Inflammation of the NASAL MUCOSA in the ETHMOID SINUS. It may present itself as an acute (infectious) or chronic (allergic) condition.
inflammation with formation,C0027613,Neonatal hepatitis,1,,50,27.4816,,and_definitions;phrase_definitions,,Chronic hepatitis characterized by parenchymal inflammation with formation of large multinucleated hepatocytes in response to a variety of insults to the liver. [PMID:27746622]
skin graft after reconstructive,C0181908,"Moulds, Vaginal",1,,50,70.5295,,and_definitions;phrase_definitions,,"A vaginal stent is a device used to enlarge the vagina by stretching, or to support the vagina and to hold a skin graft after reconstructive surgery."
skin laryngeal abnormalities,C0796184,"Corpus Callosum, Agenesis of, with Facial Anomalies and Robin Sequence",1,,50,15.1371,,and_definitions;phrase_definitions,,"Multiple congenital anomaly consisting of agenesis of the corpus callosum, telecanthus, short palpebral fissures, small nose with anteverted nares, Robin sequence, malformed ears, redundant neck skin, laryngeal abnormalities, heart defect, short hands, hypotonia, occasional Hirschsprung disease, and moderate to severe developmental delay."
skin manifestations of acute,C5419484,Cutaneous Acute Graft versus Host Disease,1,,50,40.2304,,and_definitions;phrase_definitions,,"Skin manifestations of acute graft versus host disease, which typically presents as an erythematous maculopapular rash involving the face, ears, palms, and soles that may spread to the trunk and evolve to erythroderma."
swelling in many areas,C4087273,C3 glomerulopathy,1,,50,12.8554,,and_definitions;phrase_definitions,,"C3 glomerulopathy is a group of related conditions that cause the kidneys to malfunction. The major features of C3 glomerulopathy include high levels of protein in the urine (proteinuria), blood in the urine (hematuria), reduced amounts of urine, low levels of protein in the blood, and swelling in many areas of the body. Affected individuals may have particularly low levels of a protein called complement component 3 (or C3) in the blood.~The kidney problems associated with C3 glomerulopathy tend to worsen over time. About half of affected individuals develop end-stage renal disease (ESRD) within 10 years after their diagnosis. ESRD is a life-threatening condition that prevents the kidneys from filtering fluids and waste products from the body effectively.~Researchers have identified two major forms of C3 glomerulopathy: dense deposit disease and C3 glomerulonephritis. Although the two disorders cause similar kidney problems, the features of dense deposit disease tend to appear earlier than those of C3 glomerulonephritis, usually in adolescence. However, the signs and symptoms of either disease may not begin until adulthood.~One of the two forms of C3 glomerulopathy, dense deposit disease, can also be associated with other conditions unrelated to kidney function. For example, people with dense deposit disease may have acquired partial lipodystrophy, a condition characterized by a lack of fatty (adipose) tissue under the skin in the upper part of the body. Additionally, some people with dense deposit disease develop a buildup of yellowish deposits called drusen in the light-sensitive tissue at the back of the eye (the retina). These deposits usually appear in childhood or adolescence and can cause vision problems later in life."
infection associated symptoms,C0051080,alanylglutamine,2,,49,21.6470,,and_definitions;phrase_definitions,,"A nutritional supplement containing a stable, water-soluble dipeptide comprised of the amino acids L-glutamine and L-alanine, with potential protective and absorption enhancing activities. Upon oral or enteral administration, alanylglutamine works locally in the gastrointestinal (GI) tract to both protect the integrity of the intestinal mucosa and maintain intestinal barrier functions. This reduces bacterial translocation, the risk of infection, infection-induced inflammatory damage and infection-associated symptoms, such as diarrhea, dehydration, malabsorption and electrolyte imbalances. Alanylglutamine also increases absorption of other chemicals, enhances epithelial repair, and inhibits apoptosis due to cellular damage, and stimulates cellular proliferation. Altogether, this improves absorption of nutrients, decreases weight loss, reduces diarrhea, decreases the risk of GI-associated infections and improves recovery. Upon absorption, alanylglutamine may also help inhibit muscle protein catabolism."
swelling in many,C4087273,C3 glomerulopathy,2,,49,9.2413,,and_definitions;phrase_definitions,,"C3 glomerulopathy is a group of related conditions that cause the kidneys to malfunction. The major features of C3 glomerulopathy include high levels of protein in the urine (proteinuria), blood in the urine (hematuria), reduced amounts of urine, low levels of protein in the blood, and swelling in many areas of the body. Affected individuals may have particularly low levels of a protein called complement component 3 (or C3) in the blood.~The kidney problems associated with C3 glomerulopathy tend to worsen over time. About half of affected individuals develop end-stage renal disease (ESRD) within 10 years after their diagnosis. ESRD is a life-threatening condition that prevents the kidneys from filtering fluids and waste products from the body effectively.~Researchers have identified two major forms of C3 glomerulopathy: dense deposit disease and C3 glomerulonephritis. Although the two disorders cause similar kidney problems, the features of dense deposit disease tend to appear earlier than those of C3 glomerulonephritis, usually in adolescence. However, the signs and symptoms of either disease may not begin until adulthood.~One of the two forms of C3 glomerulopathy, dense deposit disease, can also be associated with other conditions unrelated to kidney function. For example, people with dense deposit disease may have acquired partial lipodystrophy, a condition characterized by a lack of fatty (adipose) tissue under the skin in the upper part of the body. Additionally, some people with dense deposit disease develop a buildup of yellowish deposits called drusen in the light-sensitive tissue at the back of the eye (the retina). These deposits usually appear in childhood or adolescence and can cause vision problems later in life."
blood flow deprives tumor,C3640064,Valecobulin,3,,48,40.0302,,and_definitions;phrase_definitions,,"A benzophenone derivative and water soluble valine prodrug of the tubulin binding agent S516, with potential tubulin-inhibiting, vascular-disrupting and antineoplastic activity. Upon administration, valecobulin is converted into its active metabolite S-516 that binds to tubulin and prevents its polymerization in tumor blood vessel endothelial cells and tumor cells. This blocks the formation of the mitotic spindle and leads to cell cycle arrest at the G2/M phase. As a result, this agent disrupts the tumor vasculature and tumor blood flow, deprives tumor cells of nutrients and induces tumor cell apoptosis. In addition, this agent has a direct cytotoxic effect on tumor cells by inhibiting tubulin polymerization."
blood from the surgical,C0179183,"Autotransfusion Units, Whole Blood Hemofiltration",3,,48,25.5906,,and_definitions;phrase_definitions,,"Autotransfusion units designed to collect blood lost by a patient for subsequent reinfusion into the same patient (i.e., autotransfusion) without processing. These units typically include a suction mechanism to collect blood from the surgical field, a mechanism to add anticoagulants, particulate microfilters, and a reservoir to store the blood. Whole blood autotransfusion units are used mainly during surgical procedures, but they may be also used during postoperative recovery and in emergency or intensive care units after trauma."
blood in sponges,C0175659,Weight measurement scales,3,,48,19.5617,,and_definitions;phrase_definitions,,"Measuring instruments designed to determine the weight of bulk materials or large discrete objects. Scales use several methods for weighing, including gravimetric scales in which other masses are used to compare the mass of the unknown in the same way that balances work; spring scales, in which the gravitational force on the unknown is matched by a spring force of known constant; electromechanical scales using transducers and linear transformers or torque motors; and electronic scales using different types of sensors (e.g., strain gauges). Scales are used in the field of medicine to weigh patients for diagnostic or for some special treatments (e.g., dialysis, newborns), for clinical determinations (e.g., urine in diapers, blood in sponges), and also for general use (e.g., food weighing) in hospitals, nurseries, and at home."
growth in susceptible tumor,C4519307,AZD-0424,3,,48,29.6703,,and_definitions;phrase_definitions,,"An orally bioavailable small molecule tyrosine kinase inhibitor that targets both Abl and Src kinases with potential antineoplastic activity. Upon oral administration, AZD0424 selectively inhibits both Src and Abl kinase activity which may result in the inhibition of tumor growth in susceptible tumor cells. Src and Abl kinases are upregulated in certain tumor cells and play important roles in tumor cell proliferation and metastasis."
infection which in severe,C3690169,"IVD Test Reagent/Kits, Molecular Assay, Infection, Virus, Yellow Fever, RNA",3,,48,24.8286,,and_definitions;phrase_definitions,,"Molecular assay reagents intended to identify yellow fever virus, a single-stranded RNA arbovirus of the genus Flavivirus, family Flaviviridae, by detecting the ribonucleic acid (RNA) of the target virus. This virus causes yellow fever, an acute infection, which in severe form is characterized by fever, liver damage and jaundice, hemorrhage, and kidney damage; it is usually transmitted by the bite of infected mosquitoes."
inflammation associated with ocular,C5203911,Brimonidine Tartrate Nanoemulsion OCU-300,3,,48,29.1404,,and_definitions;phrase_definitions,,"An ophthalmic nanoemulsion consisting of the tartrate salt form of brimonidine, an imidazole derivative and selective alpha-2 adrenergic receptor agonist, with potential anti-inflammatory and vasoconstrictive activities. Upon ophthalmic instillation, brimonidine tartrate nanoemulsion OCU-300 reduces intraocular pressure by promoting the outflow and decreasing the production of aqueous humor and may reduce ocular erythema through direct vasoconstriction. Additionally, brimonidine may disrupt leukocyte extravasation into the ocular tissue, inhibit nociception and reduce inflammation associated with ocular graft-versus-host disease (oGvHD). The nanoemulsion formulation may enhance distribution of brimonidine to target tissues, thereby allowing more of the active drug to reach underlying ocular tissue."
blood from the coronary,C0456944,Coronary sinus structure,4,,47,16.2444,,and_definitions;phrase_definitions,,The coronary vein that terminates in the right atrium and transports deoxygenated blood from the coronary circulation.
inflammation of the biliary,C0492403,"HYDRAZONE DERIV. OF ALPHA-KETOGLUTERATE (COLORIMETRY), ISOCITRIC DEHYDROGEN",4,,47,29.4041,,and_definitions;phrase_definitions,,"An isocitric dehydrogenase test system is a device intended to measure the activity of the enzyme isocitric dehydrogenase in serum and plasma. Isocitric dehydrogenase measurements are used in the diagnosis and treatment of liver disease such as viral hepatitis, cirrhosis, or acute inflammation of the biliary tract; pulmonary disease such as pulmonary infarction (local arrest or sudden insufficiency of the blood supply to the lungs), and diseases associated with pregnancy."
skin lesions associated,C0085641,Pustular rash,4,,47,30.9699,,and_definitions;phrase_definitions,,Elevated skin lesions associated with the presence of purulent material.
skin of another,C5907539,venom-mediated dermonecrosis in another organism,4,,47,31.2923,,and_definitions;phrase_definitions,,"The disruption of the skin of another organism, leading to damage or temporary subversion of the skin. [PMID:28194160]"
acidosis and fanconi syndrome,C0268194,Phosphoenolpyruvate carboxykinase deficiency,5,,46,37.5073,,and_definitions;phrase_definitions,,"A rare gluconeogenesis disorder that results from impairment in the enzyme phosphoenolpyruvate carboxykinase, and comprised of cytosolic and mitochondrial forms of enzyme deficiency. Onset of symptoms is neonatal or a few months after birth and includes hypoglycemia associated with acute episodes of severe lactic acidosis, progressive neurological deterioration, severe liver failure, renal tubular acidosis and Fanconi syndrome. Patients also present progressive multisystem damage with failure to thrive, muscular weakness and hypotonia, developmental delay with seizures, spasticity, lethargy, microcephaly and cardiomyopathy. To date, there is no conclusive evidence of the existence of an isolated form of this disorder."
blood circulating in one,C0491355,"INSTRUMENT, AUTOMATED PLATELET COUNTING",5,,46,27.1159,,and_definitions;phrase_definitions,,"An automated cell counter is a fully-automated or semi-automated device used to count red blood cells, white blood cells, or blood platelets using a sample of the patient's peripheral blood (blood circulating in one of the body's extremities, such as the arm). These devices may also measure hemoglobin or hematocrit and may also calculate or measure one or more of the red cell indices (the erythrocyte mean corpuscular volume, the mean corpuscular hemoglobin, or the mean corpuscular hemoglobin concentration). These devices may use either an electronic particle counting method or an optical counting method."
blood from the myocardium,C0456944,Coronary sinus structure,5,,46,12.9025,,and_definitions;phrase_definitions,,"A short vein that collects about two thirds of the venous blood from the MYOCARDIUM and drains into the RIGHT ATRIUM. Coronary sinus, normally located between the LEFT ATRIUM and LEFT VENTRICLE on the posterior surface of the heart, can serve as an anatomical reference for cardiac procedures."
